px,py,pz,nx,ny,nz
0.345094,-0.37715,2.10142,0.710887,0.620072,-0.331889
0.125341,-0.484032,0.722683,0.283112,-0.81517,0.505318
-0.135736,0.668856,1.91248,0.67144,0.741059,0
0.181916,-0.785123,1.14346,-0.165587,0.842949,0.511877
0.389097,0.299629,1.84655,0.294564,0.283314,0.912669
0.239598,-0.180491,2.99961,0.503483,0.848696,0.161926
0.784655,-0.547028,0.385344,-0.757874,-0.224055,0.612721
-0.63081,0.976028,2.41301,0.00313306,0.999995,0
-0.350027,-0.650242,1.37147,-0.0375183,0.999296,0
0.741356,-0.454532,0.440993,0.747533,0.571389,0.338688
-0.534819,0.530828,1.9686,0.128942,0.746875,-0.652344
0.976289,0.197498,0.910454,0.221304,-0.0881043,-0.971217
0.777993,-0.556613,1.9023,-0.759697,-0.602329,-0.245073
0.475199,0.679935,0.426185,-0.488252,0.530316,0.693091
0.755415,-0.0492698,2.73358,0.271115,0.340603,0.90027
-0.667086,0.336232,0.59051,-0.126598,0.849089,0.512855
-0.609001,0.932189,2.00361,-0.269768,0.600695,-0.75259
0.932092,0.56977,1.4297,-0.817408,0.576059,0
0.91779,0.876175,2.21694,0.950317,-0.239773,-0.19851
0.671313,0.606529,1.16608,-0.657226,-0.753694,0
-0.238801,-0.587801,0.259716,-0.978668,0.20545,0
-0.839834,-0.0141681,2.18888,0.401356,0.90181,-0.160162
0.372584,-0.318826,1.0035,0.415428,-0.909626,0
0.359067,-0.330289,0.5044,-0.459623,-0.879531,0.123173
0.322936,-0.436482,2.12368,0.707046,-0.705021,-0.0550659
-0.454173,-0.184703,0.0529956,0.588653,-0.247885,-0.769442
-0.541741,0.474441,1.90268,0.128942,0.746875,-0.652344
-0.794263,0.478272,0.879925,-0.0555028,0.599786,0.798233
1.00947,0.394301,1.97398,0.698467,0.715642,0
-0.379667,-0.510893,2.59549,-0.106559,-0.994307,0
0.864251,-0.580011,1.53671,-0.482158,-0.503584,0.716887
0.778517,0.177,0.100625,0.6991,-0.237598,-0.674393
0.786183,0.940758,2.89538,-0.427002,-0.224055,0.876053
-0.481799,-0.886435,0.10242,0.229196,-0.0389573,0.9726
0.605437,0.174427,0.885744,-0.641282,0.767306,0
0.261859,-0.157852,1.83109,-0.77399,0.200413,-0.600645
0.569437,0.0107418,2.74571,0.395093,0.389683,-0.831895
-0.698192,-0.364374,2.14815,0.280026,-0.745771,0.604492
0.823033,0.185666,0.143719,0.6991,-0.237598,-0.674393
-0.189325,1.0401,2.79471,-0.213425,0.976959,0
0.635102,0.826732,0.789267,-0.556557,-0.65099,-0.516194
-0.753036,-0.362481,2.17424,-0.280026,0.745771,-0.604492
-0.721338,0.381295,1.93308,0.648615,0.761117,0
-0.274147,-0.104794,2.90606,0.843236,0.537544,0
0.724823,-0.460281,0.434116,0.269083,0.205678,-0.940899
-0.929818,0.449031,-0.00191447,0.0541186,-0.0463424,-0.997459
-0.294013,-0.748209,1.31897,0.0375183,-0.999296,0
-0.0388443,0.0458059,2.38327,0.893429,0.449205,0
0.635181,0.112977,0.872013,-0.504344,-0.42151,0.753636
0.457267,0.61488,2.43866,0.41286,0.910795,0
0.326341,0.377692,0.512008,0.0951114,-0.995467,0
-0.60488,0.923026,1.99482,-0.269768,0.600695,-0.75259
-0.402835,-0.206336,0.0992402,0.588653,-0.247885,-0.769442
0.91405,0.701355,2.29661,-0.502213,0.864744,0
-0.731558,-0.358183,2.17124,0.280027,-0.745771,0.604492
0.185697,0.453147,1.58398,-0.154795,-0.317483,-0.935544
0.0178703,0.0646467,2.30962,0.231797,-0.172142,-0.957412
-0.36358,-0.65075,1.3851,-0.0375183,0.999296,0
0.274112,-0.161136,1.8142,-0.77399,0.200413,-0.600645
-0.603636,0.920476,1.99234,-0.269768,0.600695,-0.75259
0.682885,0.491135,2.05218,-0.418437,-0.69891,0.580031
0.0362259,-0.11819,0.136728,-0.63207,0.312751,-0.708995
0.867054,0.961317,0.0682462,0.572603,-0.683619,0.452538
-0.0555683,-0.48228,0.472879,0.0862404,-0.870953,0.48374
0.0731375,-0.477003,0.76327,0.283112,-0.81517,0.505318
0.29383,0.844226,0.240365,-0.218749,0.394189,0.892616
0.916753,0.653809,0.0557758,0.213113,-0.230337,0.949488
0.250505,-0.403748,0.115484,0.235864,0.959069,-0.156699
0.739985,0.224986,1.09501,-0.896492,-0.443061,0
0.0474993,-0.0729933,0.862515,-0.225274,0.0211131,0.974067
-0.0471539,0.825652,0.298143,-0.0777163,0.595662,0.799467
0.916908,-0.761058,2.55644,0.602153,-0.230974,-0.76424
0.337486,0.185161,2.1923,-0.999483,-0.0321525,0
-0.649431,0.191294,1.63361,0.976679,-0.169715,-0.131509
-0.543426,0.373717,2.06751,-0.198257,-0.746825,0.63478
0.671642,0.606242,1.18457,-0.657225,-0.753694,0
-0.658849,0.772896,1.67362,0.159014,0.0669365,0.985005
0.43446,0.0889107,2.46829,-0.199371,0.132559,-0.970917
0.215573,-0.166238,2.99961,0.503483,0.848696,0.161926
0.791693,-0.595831,0.37517,0.283506,-0.95897,0
-0.0603229,0.823827,0.298223,-0.0777163,0.595662,0.799467
0.97209,-0.0364714,2.25652,-0.589191,-0.397038,0.703715
-0.794187,0.628345,2.40671,-0.149629,-0.389229,0.908907
0.0603605,-0.794862,2.97138,-0.00609282,-0.672301,0.740253
0.50775,0.827743,0.373856,-0.342811,-0.0296643,0.938936
-0.190504,0.629354,1.84118,0.725578,-0.657414,-0.203328
0.00849615,0.66211,1.48867,-0.638076,-0.769973,0
0.139882,0.166444,2.92089,-0.911497,-0.00537184,-0.411273
0.494684,-0.864762,1.3166,-0.764229,-0.450403,-0.461618
0.61022,0.121131,0.643264,0.362065,0.65848,0.659783
0.620706,0.027497,2.96635,0.097144,0.99527,0
-0.661252,0.107879,1.65726,0.129568,-0.0225146,0.991315
-0.85387,-0.842354,2.61159,0.454692,-0.200535,0.86778
0.218138,-0.477891,0.127897,-0.971065,0.238815,0
0.9197,-0.583047,1.5716,0.49578,0.517811,0.69719
-0.901741,0.0189479,2.22209,-0.913604,0.406605,0
0.66333,-0.166283,2.51657,0.534686,-0.808273,-0.246588
0.818318,0.654183,0.487287,0.0374134,0.059181,-0.997546
-0.30699,-0.171531,1.63705,-0.213112,-0.587412,-0.780724
-0.645942,0.934982,2.36807,0.941724,-0.00295049,-0.336372
0.442124,0.0838429,2.46602,-0.199371,0.132559,-0.970917
0.257692,-0.156974,1.83675,-0.77399,0.200413,-0.600645
0.778794,-0.557245,1.90137,-0.759697,-0.602329,-0.245073
0.616534,0.849406,0.78263,0.556557,0.65099,0.516194
0.720019,-0.918257,2.2156,0.824128,0.424635,-0.37483
-0.132536,0.958037,1.48662,-0.411077,0.9116,0
0.921918,0.690601,2.29693,0.668265,0.388105,-0.634663
0.402705,-0.845269,1.06044,-0.98007,-0.198652,0
-0.0465591,0.640976,1.99322,0.160796,0.135033,-0.977707
0.250485,-0.403745,0.115478,0.235864,0.959069,-0.156699
0.727784,0.0254599,1.0257,0.216824,0.481924,-0.848962
-0.59962,0.911886,1.98404,-0.269768,0.600695,-0.75259
0.719762,-0.918286,2.215,0.824128,0.424635,-0.37483
0.912583,-0.576235,1.5716,0.49578,0.517811,0.69719
-0.875124,0.676658,2.37311,0.326136,0.848379,0.416999
-0.209088,0.192316,0.356927,-0.23677,-0.108148,0.965528
-0.0491653,0.826007,2.83474,0.243565,0.722099,0.647495
-0.842629,-0.939471,0.983794,0.0844868,0.952758,0.291745
0.365894,-0.321881,0.966453,0.415428,-0.909626,0
0.176508,0.180048,2.84189,0.411265,0.00242376,-0.911512
-0.596518,0.925208,1.0798,0.652161,0.216644,0.726466
0.131022,-0.984327,2.08903,0.0281369,0.0386329,-0.998857
0.352299,-0.381506,2.10871,0.710887,0.620072,-0.331889
-0.822795,-0.196018,-0.0490928,0.0037741,-0.0198219,-0.999796
-0.39509,0.141443,1.65196,0.757395,0.645575,0.0979051
-0.255208,-0.669668,1.14107,0.11434,0.972471,-0.203043
-0.667137,0.336469,0.590104,-0.126598,0.849089,0.512855
0.225661,-0.447302,0.122577,-0.971065,0.238815,0
-0.69683,0.997028,2.66489,-0.17391,0.984762,0
-0.900492,0.0217532,2.24101,-0.913604,0.406605,0
-0.648859,0.935208,2.3599,0.941724,-0.00295049,-0.336372
0.354013,0.639769,2.97572,-0.915229,-0.402935,0
0.766153,0.647783,1.98251,0.728435,-0.545506,-0.414494
0.0032561,1.00502,2.29689,-0.0759621,0.997111,0
0.548365,0.711274,0.452662,0.46945,-0.509894,0.72085
-0.63111,0.934634,2.41257,-0.941724,0.00295049,0.336372
-0.574852,0.881186,0.453633,0.637172,-0.365161,-0.678727
0.976543,0.197426,0.910519,0.221304,-0.0881043,-0.971217
-0.25476,-0.665364,1.16194,0.11434,0.972471,-0.203043
0.686309,-0.147508,2.95573,0.994393,0.0504279,0.0929523
-0.0497521,-0.00193101,2.3278,0.251346,-0.499904,-0.828807
-0.544861,0.368398,2.06081,-0.198257,-0.746825,0.63478
0.915999,0.702487,2.29935,-0.502213,0.864744,0
0.916837,-0.78166,2.22192,0.985516,0.169582,0
-0.742393,-0.0758368,1.13684,-0.600889,0.765619,-0.229695
-0.645535,0.935193,2.36921,0.941724,-0.00295049,-0.336372
0.971237,0.426018,1.91257,-0.453942,0.443048,-0.773075
-0.94337,0.615193,2.69364,0.24658,-0.367227,-0.896852
0.131308,-0.984055,2.08905,0.0281369,0.0386329,-0.998857
0.162084,-0.421001,1.96649,-0.125809,-0.0642349,-0.989973
-0.374963,0.630363,0.660668,-0.691099,-0.0528579,0.720825
0.754387,0.00692812,1.02315,-0.216824,-0.481924,0.848962
-0.951018,-0.667971,2.62069,-0.789996,0.609477,0.0666668
0.969268,-0.482257,2.54148,0.0453943,-0.154191,0.986998
