node_index,aabb_min_x,aabb_min_y,aabb_min_z,aabb_max_x,aabb_max_y,aabb_max_z,n_subtree_primitives,n_leaf_primitives,node_type,valid,surface_area,center_of_mass_x,center_of_mass_y,center_of_mass_z,importance,importance_gt
149,0.811476,0.577705,-0.0317177,0.928814,0.68571,0.0481487,3,3,leaf,1,0.015,0.876563,0.631181,0.00371072,6.12967e-05,0
150,0.132447,0.627619,-0.0317177,0.928814,0.98443,0.464916,19,0,interior,1,0.03065,0.636236,0.855667,0.172239,0.0163103,0
151,0.132447,0.635146,-0.0317177,0.879429,0.98443,0.464916,9,0,interior,1,0.0153,0.41061,0.775241,0.30629,0.0151015,0
152,0.132447,0.648818,-0.00100559,0.830267,0.920349,0.464916,4,4,leaf,1,0.0101,0.191154,0.697877,0.434098,0.00314263,0
153,0.802659,0.635146,-0.0317177,0.879429,0.98443,0.0896652,5,0,interior,1,0.0052,0.836861,0.925505,0.0580455,0.00861685,0
154,0.811476,0.635146,-0.0317177,0.846958,0.68571,0.0481487,2,2,leaf,1,9.99979e-05,0.829217,0.660428,0.0082155,0,0
155,0.802659,0.887275,-0.00142735,0.879429,0.98443,0.0896652,3,3,leaf,1,0.0051,0.837011,0.930703,0.0590226,0.00850321,0
156,0.80324,0.627619,-0.0317177,0.928814,0.98443,0.0896652,10,0,interior,1,0.01535,0.861127,0.935832,0.0386257,0.00563609,0
157,0.80324,0.627619,-0.0317177,0.928814,0.952052,0.0896652,5,0,interior,1,0.0052,0.848046,0.914379,0.0274668,0.00399838,0
158,0.846503,0.627619,-0.0317177,0.928814,0.68571,-0.0311079,2,2,leaf,1,9.9998e-05,0.887658,0.656664,-0.0314128,0,0
159,0.80324,0.887275,-0.00142735,0.907037,0.952052,0.0896652,3,3,leaf,1,0.0051,0.84727,0.919432,0.0286213,0.00414536,0
160,0.80324,0.887971,-0.00142735,0.907037,0.98443,0.0896652,5,0,interior,1,0.01015,0.867829,0.946822,0.0443426,0.00647683,0
161,0.80324,0.919653,-0.00100559,0.907037,0.98443,0.0896652,2,2,leaf,1,0.00505,0.863338,0.95169,0.0597394,0.00860088,0
162,0.829686,0.887971,-0.00142735,0.907037,0.98443,0.0896652,3,3,leaf,1,0.0051,0.872276,0.942002,0.0290967,0.00430944,0
163,0.132526,-0.37318,0.407925,0.936143,0.898091,1.67798,75,0,interior,1,0.13245,0.432827,0.224296,0.971386,0.0960698,0
164,0.132579,-0.37318,0.443153,0.936143,0.100908,1.61046,37,0,interior,1,0.06125,0.427077,-0.104429,0.933863,0.115606,1.43846e-12
165,0.318927,-0.23705,0.443153,0.702713,0.0913476,0.904525,18,0,interior,1,0.0207,0.642264,-0.039845,0.697599,0.0700201,0
166,0.318927,-0.23705,0.443153,0.702713,0.00979273,0.738163,9,0,interior,1,0.01035,0.642176,-0.0416283,0.693928,0.0712133,4.16622e-18
167,0.318927,-0.23705,0.443153,0.674824,0.00979273,0.737584,4,4,leaf,1,0.000200002,0.487053,-0.12455,0.556714,0.0919778,2.78217e-16
168,0.586782,-0.089841,0.656074,0.702713,0.00979273,0.738163,5,0,interior,1,0.01015,0.645233,-0.0399943,0.696632,0.0703681,0
169,0.586782,-0.0891266,0.656074,0.702713,0.00979273,0.737584,2,2,leaf,1,0.00505,0.634799,-0.0235179,0.709878,0.0688009,2.55847e-16
170,0.587174,-0.089841,0.656074,0.702713,-0.0383486,0.738163,3,3,leaf,1,0.0051,0.655564,-0.0563092,0.683516,0.0718468,0
171,0.431304,-0.089841,0.656654,0.702713,0.0913476,0.904525,9,0,interior,1,0.01035,0.642352,-0.0380617,0.701269,0.0688061,0
172,0.431304,-0.0416997,0.656654,0.6453,0.0913476,0.903898,4,4,leaf,1,0.000199997,0.533929,0.0385872,0.83174,0.100573,0
173,0.582222,-0.089841,0.656654,0.702713,0.0748671,0.904525,5,0,interior,1,0.01015,0.644489,-0.039572,0.698698,0.0682009,0
174,0.586782,-0.089841,0.656654,0.702321,0.00907831,0.738163,2,2,leaf,1,0.01,0.644552,-0.0403814,0.697408,0.0691141,0
175,0.582222,-0.039063,0.737584,0.702713,0.0748671,0.904525,3,3,leaf,1,0.00015,0.640298,0.0143889,0.784697,0.000853413,0
176,0.132579,-0.37318,0.881883,0.936143,0.100908,1.61046,19,0,interior,1,0.04055,0.317228,-0.137398,1.05447,0.13339,0
177,0.132579,-0.37318,1.14615,0.244621,-0.275175,1.20357,9,0,interior,1,0.02025,0.188901,-0.324232,1.17493,0.0490018,4.17702e-12
178,0.132579,-0.37318,1.14615,0.244621,-0.275733,1.20357,4,4,leaf,1,0.0101,0.172379,-0.327233,1.17514,0.0472106,0
179,0.132579,-0.37318,1.14615,0.244621,-0.275175,1.20357,5,0,interior,1,0.01015,0.205342,-0.321246,1.17472,0.0508073,0
180,0.132579,-0.356549,1.14615,0.24453,-0.275175,1.20357,2,2,leaf,1,0.00505,0.202753,-0.307392,1.16565,0.0478291,8.25257e-12
181,0.145921,-0.37318,1.14615,0.244621,-0.275175,1.20357,3,3,leaf,1,0.0051,0.207905,-0.334964,1.1837,0.0537539,0
