px,py,pz,nx,ny,nz
-0.26239,0.584308,1.38924,-0.922397,0.386242,0
-0.502136,-0.806518,0.0455192,-0.386766,0.922178,0
-0.385323,-0.111309,0.126261,0.542064,0.180956,0.820623
-0.0656579,-0.297595,2.17878,-0.290043,0.957014,0
0.552313,-0.355312,2.61557,-0.535361,0.764326,0.359436
0.71741,-0.483037,0.46842,0.0224434,0.45435,0.89054
0.58666,0.799018,0.388734,0.990658,0.136373,0
0.618069,0.158613,1.43781,0.0674609,0.439395,0.895757
0.181739,-0.600864,1.61705,0.757828,0.325774,-0.565304
-0.115429,0.94096,1.4058,-0.0275774,0.895384,-0.44444
-0.568106,0.872146,0.490081,0.100368,0.0865104,-0.991182
-0.242246,1.0107,2.82113,0.03849,0.0521003,0.9979
0.729626,0.77998,0.12469,-0.453197,0.885299,0.104206
-1.02708,-0.424878,1.15411,-0.12953,0.228817,-0.964813
0.0261963,-0.806255,2.95577,0.657987,0.639696,0.397292
0.577247,-0.0524357,2.91624,-0.0483797,0.053302,-0.997406
-0.540752,0.558007,1.96158,0.492569,0.870274,0
0.56863,0.884506,0.802283,-0.83214,0.554565,0
-0.0439048,0.784692,2.84944,-0.265014,0.170439,0.949062
0.999145,-0.335567,0.594706,0.343049,0.102095,0.933753
0.876678,0.936384,0.0899702,-0.169157,0.982333,0.0800459
0.162906,0.0513643,2.52214,0.571605,0.580087,0.580316
0.120009,-0.574291,2.34047,0.353184,0.463405,0.812722
0.880406,-0.773162,2.14891,-0.380562,0.891328,-0.246388
0.375846,0.711857,1.6861,-0.168422,0.371034,-0.913219
-0.251041,-0.545772,0.880824,-0.0400105,0.982103,-0.184047
0.205537,-0.194375,3.01511,-0.669995,0.58173,0.461191
-0.390595,0.483084,1.73661,0.746485,0.665403,0
0.863046,-0.184639,1.17301,-0.129864,0.569118,0.811936
0.884424,-0.282696,1.67541,0.358952,0.164444,0.918756
-0.955415,0.629469,2.69463,0.919277,0.302578,0.251746
-0.828582,0.668599,2.36134,-0.575521,0.74458,-0.338196
-0.14715,0.925695,1.37701,-0.0275774,0.895384,-0.44444
0.285811,-0.401323,2.12886,-0.699973,0.714169,0
0.505231,-0.582573,0.892039,-0.860666,0.509171,0
0.619322,0.166576,1.43381,0.0674609,0.439395,0.895757
-0.034193,-0.693678,1.06722,0.686535,0.245949,0.684236
-0.139327,0.497509,1.51848,-0.150201,0.339766,0.928439
0.429466,0.309907,1.8056,0.884797,0.445641,0.136157
0.679407,0.300138,0.82638,0.12153,0.317167,0.940551
-0.610408,-0.468612,2.19033,0.602013,0.798487,0
0.860408,-0.558646,1.50855,-0.404124,0.914704,0
-0.853307,0.669254,0.204551,0.109456,0.387964,0.915152
0.855406,0.313976,2.49903,-0.504044,0.473282,0.722457
0.71655,-0.950081,2.00324,0.733113,0.680106,0
0.016803,-0.783553,2.93477,0.657987,0.639696,0.397292
0.469192,-0.806522,1.07012,-0.754836,0.604988,-0.253402
-0.70349,0.705445,0.764225,0.977514,0.210869,0
-0.952166,0.457188,1.99619,0.583156,0.464462,-0.666486
-0.17663,0.911492,1.35023,-0.0275774,0.895384,-0.44444
-0.316167,-0.143795,2.85884,0.415801,0.8947,-0.163162
0.455471,-0.77469,1.19032,0.154526,0.982154,0.10722
0.53751,-0.72175,0.763971,0.0335513,0.894249,0.446311
-0.309597,0.143258,1.70706,-0.944374,0.0168239,0.328443
-0.503828,0.649566,1.94602,-0.318835,0.892588,-0.318796
-0.134221,0.93192,1.38875,-0.0275774,0.895384,-0.44444
-0.493057,0.664919,1.98001,-0.107239,0.300218,0.947823
0.702059,0.49695,2.03101,0.506202,0.0597051,-0.860346
0.763543,-0.5062,0.348268,0.832371,0.45455,0.317086
0.965709,0.450332,2.69507,0.718106,0.695934,0
-0.694416,0.495084,1.95868,0.297511,0.120512,-0.947082
0.467433,0.719048,0.401629,0.623304,0.770717,-0.132239
0.749463,0.0684932,1.00768,-0.594811,0.625466,-0.504968
0.0488207,-0.497341,2.34048,-0.253326,0.967381,0
1.00826,0.567004,1.45338,-0.23816,0.907916,-0.344917
-0.866474,0.163377,0.565326,-0.91728,0.398243,0
-0.0888239,0.196177,2.29263,-0.734462,0.67865,0
-0.250279,-0.429608,0.877453,-0.116041,0.95811,0.261841
0.839532,-0.232411,0.480906,0.0322784,0.810042,-0.585483
0.542503,0.198349,0.393243,-0.728198,0.685366,0
0.673003,0.7588,0.216308,-0.597782,0.743774,0.299094
0.659689,0.150622,0.871761,0.788801,0.614649,0
0.672068,-0.491003,0.447495,-0.998782,0.0493366,0
-0.66918,0.902811,2.44965,-0.292612,0.183747,0.938411
-0.703713,0.706477,0.780269,0.977514,0.210869,0
