px,py,pz,nx,ny,nz,weight
-0.842629,-0.939471,0.983794,0.0844868,0.952758,0.291745,2.85363e-06
0.176508,0.180048,2.84189,0.411265,0.00242376,-0.911512,1.46557e-05
-0.596518,0.925208,1.0798,0.652161,0.216644,0.726466,0.000516789
0.131022,-0.984327,2.08903,0.0281369,0.0386329,-0.998857,9.61005e-06
0.352299,-0.381506,2.10871,0.710887,0.620072,-0.331889,0.00135214
-0.39509,0.141443,1.65196,0.757395,0.645575,0.0979051,0.00078982
-0.255208,-0.669668,1.14107,0.11434,0.972471,-0.203043,0.000645536
-0.667137,0.336469,0.590104,-0.126598,0.849089,0.512855,0.000637823
0.225661,-0.447302,0.122577,-0.971065,0.238815,0,3.62312e-05
-0.69683,0.997028,2.66489,-0.17391,0.984762,0,4.1303e-06
-0.900492,0.0217532,2.24101,-0.913604,0.406605,0,7.119e-06
0.0032561,1.00502,2.29689,-0.0759621,0.997111,0,5.74373e-06
-0.63111,0.934634,2.41257,-0.941724,0.00295049,0.336372,0.00113837
-0.25476,-0.665364,1.16194,0.11434,0.972471,-0.203043,0.000641172
0.686309,-0.147508,2.95573,0.994393,0.0504279,0.0929523,0.000723673
0.915999,0.702487,2.29935,-0.502213,0.864744,0,1.21364e-05
0.916837,-0.78166,2.22192,0.985516,0.169582,0,1.49374e-05
-0.742393,-0.0758368,1.13684,-0.600889,0.765619,-0.229695,0.000636675
0.971237,0.426018,1.91257,-0.453942,0.443048,-0.773075,8.21808e-06
0.131308,-0.984055,2.08905,0.0281369,0.0386329,-0.998857,9.61245e-06
-0.951018,-0.667971,2.62069,-0.789996,0.609477,0.0666668,0.00061137
-0.80036,-0.943219,0.983794,0.0844868,0.952758,0.291745,2.94822e-06
-0.586519,0.495183,1.9184,-0.985423,0.170125,0,1.2964e-05
-0.901103,0.424724,1.89305,0.0488664,0.0187389,0.99863,6.0347e-06
0.866168,0.974958,0.0886643,-0.290581,0.346919,0.891745,2.71198e-05
0.44389,0.32927,1.81967,0.294564,0.283314,0.912669,0.000881553
-0.237028,0.952447,2.74895,0.553236,0.120859,-0.824211,0.00116689
0.847903,-0.759401,2.63242,-0.602153,0.230974,0.76424,1.34109e-05
0.93372,-0.0638277,2.2694,-0.400526,0.834409,-0.378603,0.00020327
0.446468,0.331914,1.81802,0.294564,0.283314,0.912669,0.000884103
0.741617,0.0294027,1.03147,0.216824,0.481924,-0.848962,0.00310137
-0.9329,0.45623,0.0978386,-0.0541186,0.0463424,0.997459,1.15417e-06
0.892549,0.411735,2.43594,0.588061,0.808817,0,4.28118e-06
0.0236145,-0.111068,2.75209,-0.893185,0.449689,0,8.6796e-06
0.342617,-0.236056,1.03877,0.177096,0.0808802,0.980865,9.90574e-06
-0.226876,0.944319,2.75457,0.553236,0.120859,-0.82421,0.00117129
0.0018995,-0.111741,0.852809,-0.225274,0.0211131,0.974067,0.00161348
0.348964,-0.319023,0.54024,-0.88628,0.46315,0,3.37945e-05
-0.0693046,0.822581,0.298278,-0.0777163,0.595662,0.799467,7.55419e-06
-0.929663,0.660711,2.75258,0.830207,0.557455,0,5.61676e-06
-0.229411,0.946281,2.75315,0.553236,0.120859,-0.82421,0.00117022
1.01837,0.385609,1.98884,0.698467,0.715642,0,8.881e-06
0.769567,-0.0314287,2.72257,0.271115,0.340603,0.90027,0.00123756
-0.14964,0.950324,1.51913,-0.411078,0.9116,0,9.40662e-06
-0.937677,0.672646,2.78247,0.830207,0.557455,0,5.51544e-06
0.915421,-0.77343,2.2079,0.985516,0.169582,0,1.51412e-05
1.01702,0.649928,2.37366,0.548821,0.318736,0.772789,8.30957e-06
0.38258,-0.399267,2.14039,0.710887,0.620072,-0.331889,0.00134717
0.611178,0.122568,0.641304,0.362065,0.65848,0.659783,0.000337332
0.370982,-0.371707,2.32903,-0.799581,0.600559,0,7.13685e-06
0.938752,-0.0587022,2.27537,-0.400526,0.834409,-0.378603,0.000202776
0.579399,-0.564544,0.123054,-0.346994,0.794853,-0.4978,0.000359897
0.719944,-0.234334,0.946296,0.998201,0.0599616,0,4.54109e-05
0.77548,0.675691,1.96394,0.599423,0.800433,0,4.33359e-06
-0.622123,0.976001,2.43658,0.00313306,0.999995,0,3.08468e-06
-0.935671,0.669658,2.77499,0.830208,0.557455,0,5.5406e-06
1.00553,-0.342339,0.550785,-0.18984,0.0342011,0.981219,0.00425794
0.717831,-0.9191,2.20983,0.824128,0.424635,-0.37483,0.00207898
0.403889,0.999504,1.77298,0.115328,0.123701,0.985595,1.36281e-05
-0.862557,-0.221427,1.30663,-0.0563643,0.754722,-0.653619,0.000268506
0.650659,-0.155422,2.45755,-0.534686,0.808273,0.246588,0.000788746
0.62919,0.026669,2.97774,0.097144,0.99527,0,4.7242e-07
